name,highway
"['Trường Chinh', 'Cầu Tham Lương 2']",['primary']
"['Trần Hưng Đạo', 'Công trường Quách Thị Trang']",['primary']
"['Tôn Ðức Thắng', 'Cầu Khánh Hội', 'Đường Nguyễn Tất Thành']",['primary']
"['Tôn Đức Thắng', 'Võ Văn Kiệt']",['primary']
"['Tôn Đức Thắng', 'Đường Tôn Đức Thắng']",['primary']
"['Võ Văn Kiệt', 'Cầu Chà Và']",['primary']
"['Võ Văn Kiệt', 'Đường Võ Văn Kiệt']",['primary']
"['Vạn Kiếp', 'Cầu Chà Và']",['primary']
"['Xô Viết Nghệ Tĩnh', 'Nguyễn Thị Minh Khai', 'Cầu Thị Nghè 1']",['primary']
"['Điện Biên Phủ', 'Đường Điện Biên Phủ']",['primary']
"['Đường Cộng Hòa', 'Đường Cộng Hoà']",['primary']
"['Đường Hai Bà Trưng', 'Phan Đình Phùng', 'Cầu Kiệu']",['primary']
"['Đường Hoàng Minh Giám', 'Cầu vượt Nguyễn Thái Sơn']",['primary']
"['Đường Hoàng Văn Thụ', 'Cầu vượt Lăng Cha Cả', 'Đường Cộng Hoà']",['primary']
"['Đường Hoàng Văn Thụ', 'Hoàng Văn Thụ']",['primary']
"['Đường Hùng Vương', 'Hùng Vương']",['primary']
"['Đường Hải Thượng Lãn Ông', 'Hải Thượng Lãn Ông']",['primary']
"['Đường Hồng Bàng', 'Cầu Ông Buông 1']",['primary']
"['Đường Hồng Bàng', 'Cầu Ông Buông 2', 'Hồng Bàng']",['primary']
"['Đường Hồng Bàng', 'Hồng Bàng']",['primary']
"['Đường Khánh Hội', 'Đường Nguyễn Hữu Thọ', 'Cầu Kênh Tẻ']",['primary']
"['Đường Liên Tỉnh 5', 'Liên Tỉnh 5']",['primary']
"['Đường Nam Kỳ Khởi Nghĩa', 'Đường Nguyễn Văn Trỗi', 'Cầu Công Lý']",['primary']
"['Đường Nguyễn Hữu Thọ', 'Đường Khánh Hội', 'Cầu Kênh Tẻ']",['primary']
"['Đường Nguyễn Văn Trỗi', 'Nguyễn Văn Trỗi']",['primary']
"['Đường Phạm Hùng', 'Cầu Chánh Hưng']",['primary']
"['Đường Phạm Ngũ Lão', 'Nguyễn Oanh', 'Cầu vượt Ngã 6 Gò Vấp']",['primary']
"['Đường Quang Trung', 'Cầu Chợ Cầu 1']",['primary']
"['Đường Quang Trung', 'Cầu Chợ Cầu 2']",['primary']
"['Đường Quang Trung', 'Quang Trung']",['primary']
"['Đường Quang Trung', 'Đường Phạm Ngũ Lão']",['primary']
"['Đường Tô Ký', 'Cầu vượt Quang Trung 1']",['primary']
"['Đường Tô Ký', 'Cầu vượt Quang Trung 2']",['primary']
"['Đường Tùng Thiện Vương', 'Cao Xuân Dục']",['primary']
"['Đường Võ Văn Kiệt', 'Nguyễn Thái Học']",['primary']
"['Đường Đinh Bộ Lĩnh', 'Cầu Đinh Bộ Lĩnh']",['primary']
Ðiện Biên Phủ,['primary']
Đi Võ Văn Kiệt,['primary_link']
Đinh Tiên Hoàng,['primary']
Điện Biên Phủ,"['primary', 'primary_link']"
Đường 3 Tháng 2,['primary']
Đường 9A,['primary']
Đường An Dương Vương,['primary']
Đường Bạch Đằng,['primary']
Đường Châu Văn Liêm,['primary']
Đường Cộng Hoà,['primary']
Đường Cộng Hòa,['primary']
Đường Hai Bà Trưng,['primary']
Đường Hoàng Minh Giám,['primary']
Đường Hoàng Văn Thụ,['primary']
Đường Hùng Vương,['primary']
Đường Hải Thượng Lãn Ông,['primary']
Đường Hồng Bàng,['primary']
Đường Khánh Hội,['primary']
Đường Kinh Dương Vương,"['primary', 'primary_link']"
Đường Liên Tỉnh 5,['primary']
Đường Lê Đại Hành,['primary_link']
Đường Lý Thái Tổ,['primary']
Đường Lý Thường Kiệt,"['primary', 'primary_link']"
Đường Nam Kỳ Khởi Nghĩa,['primary']
Đường Nguyễn Hữu Thọ,['primary']
Đường Nguyễn Kiệm,['primary']
Đường Nguyễn Oanh,['primary']
Đường Nguyễn Tất Thành,['primary']
Đường Nguyễn Văn Cừ,['primary']
Đường Nguyễn Văn Trỗi,['primary']
Đường Ngô Gia Tự,['primary']
Đường Ngô Quyền,['primary']
Đường Phạm Hùng,['primary']
Đường Phạm Ngũ Lão,['primary']
Đường Phạm Văn Đồng,['primary']
Đường Quang Trung,['primary']
Đường Tô Ký,['primary']
Đường Tôn Ðức Thắng,['primary']
Đường Tôn Đức Thắng,"['primary', 'primary_link']"
Đường Tùng Thiện Vương,['primary']
Đường Võ Thị Sáu,['primary']
Đường Võ Văn Kiệt,"['primary', 'primary_link']"
Đường số 21,['primary_link']
Đường Ðiện Biên Phủ,['primary']
Đường Đinh Bộ Lĩnh,['primary']
Đường Đinh Tiên Hoàng,['primary']
Đường Điện Biên Phủ,['primary']
Ấp Bắc,['primary_link']
